date,snapshot_utc,late_snapshot,proj_hits,proj_graded,proj_expected,ev_hits,ev_graded,ev_expected,ev_flat_pnl
2026-07-22,2026-07-22T15:09:29+00:00,False,8,15,10.04,8,15,10.04,-0.04
2026-07-23,2026-07-23T14:55:26+00:00,False,0,4,2.82,0,4,2.82,-4.0
2026-07-24,2026-07-24T14:28:18+00:00,False,4,18,10.89,6,18,11.19,-5.93
2026-07-25,2026-07-25T15:34:47+00:00,False,13,17,10.11,13,17,10.11,9.5
2026-07-26,2026-07-26T14:18:53+00:00,False,2,2,1.18,2,2,1.18,2.13
2026-07-27,2026-07-27T15:33:23+00:00,False,12,18,10.44,12,18,10.44,4.63
2026-07-28,2026-07-28T15:08:18+00:00,False,7,18,10.68,5,17,10.36,-8.36
2026-07-29,2026-07-29T15:00:34+00:00,False,7,17,10.42,7,17,10.42,-3.92
2026-07-30,2026-07-30T14:56:43+00:00,False,2,9,5.35,2,9,5.35,-5.42
2026-07-31,2026-07-31T15:11:45+00:00,False,12,19,11.35,11,19,11.31,1.61
2026-08-01,2026-08-01T14:18:11+00:00,False,12,18,10.61,12,18,10.74,3.45
2026-08-02,2026-08-02T14:17:51+00:00,False,2,2,1.27,2,2,1.27,2.01
2026-08-03,2026-08-03T15:33:41+00:00,False,7,13,7.24,7,13,7.24,-0.23
2026-08-04,2026-08-04T15:12:29+00:00,False,13,19,12.05,8,19,12.26,-3.45
2026-08-05,2026-08-05T15:04:08+00:00,False,6,19,11.02,6,19,11.02,-6.84
2026-08-06,2026-08-06T15:01:59+00:00,False,3,9,5.28,3,9,5.28,-3.5
2026-08-07,2026-08-07T14:02:07+00:00,False,6,20,11.68,8,20,11.66,-5.75
2026-08-08,2026-08-08T13:35:09+00:00,False,9,19,11.2,10,19,11.2,-0.9
2026-08-09,2026-08-09T13:38:32+00:00,False,0,1,0.59,0,1,0.59,-1.0
2026-08-10,2026-08-10T14:08:36+00:00,False,11,20,11.85,11,20,11.85,2.0
2026-08-11,2026-08-11T14:08:20+00:00,False,11,19,11.02,10,19,11.25,0.0
2026-08-12,2026-08-12T14:09:38+00:00,False,8,15,8.47,8,15,8.47,-0.6
2026-08-13,2026-08-13T14:11:13+00:00,False,5,6,3.45,5,6,3.45,4.1
2026-08-14,2026-08-14T14:04:52+00:00,False,12,20,11.75,12,20,11.76,2.06
2026-08-15,2026-08-15T13:20:15+00:00,False,8,19,11.13,8,19,11.13,-3.38
2026-08-16,2026-08-16T13:21:49+00:00,False,2,2,1.21,2,2,1.21,1.96
2026-08-17,2026-08-17T13:29:15+00:00,False,7,17,10.28,7,17,10.28,-3.83
2026-08-18,2026-08-18T13:33:11+00:00,False,5,20,11.76,7,20,11.87,-7.05
2026-08-19,2026-08-19T13:33:48+00:00,False,8,16,9.27,8,16,9.27,-1.56
2026-08-20,2026-08-20T13:35:50+00:00,False,3,6,3.36,3,6,3.36,0.08
2026-08-21,2026-08-21T13:34:41+00:00,False,9,20,11.63,9,20,12.03,-3.57
2026-08-22,2026-08-22T13:22:00+00:00,False,8,19,11.16,9,20,11.77,-3.32
2026-08-23,2026-08-23T13:22:41+00:00,False,2,2,1.13,2,2,1.13,1.75
2026-08-24,2026-08-24T13:39:49+00:00,False,13,17,10.13,13,17,10.13,7.45
2026-08-25,2026-08-25T13:38:10+00:00,False,11,20,11.13,10,20,11.28,0.31
2026-08-26,2026-08-26T13:43:14+00:00,False,0,0,0,0,0,0,0
2026-08-27,2026-08-27T22:39:03+00:00,True,0,0,0,0,0,0,0
2026-08-28,2026-08-28T22:45:04+00:00,True,6,19,11.26,8,19,11.52,-4.04
